pointId,collectedAt,lat,lng,currentSpeedKph,freeFlowSpeedKph,currentTravelTimeSec,freeFlowTravelTimeSec,confidence,frc,roadClosure,segmentIndex,totalPoints,speedRatio,delaySeconds,congestionLevel,measurementMode
p-1-1,2026-05-14T04:30:00.000Z,45.7388453377955,21.209738068564292,37,51,55,39,1,FRC1,false,0,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73879034794849,21.209778301699515,37,51,55,39,1,FRC1,false,1,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73874074004003,21.209795736058112,37,51,55,39,1,FRC1,false,2,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73867100809417,21.209799759371634,37,51,55,39,1,FRC1,false,3,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.738522125418314,21.209776960595008,37,51,55,39,1,FRC1,false,4,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73837464635277,21.20975013850486,37,51,55,39,1,FRC1,false,5,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73823114492855,21.209724657519217,37,51,55,39,1,FRC1,false,6,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.737911965550516,21.209668331129848,37,51,55,39,1,FRC1,false,7,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.737683929019724,21.209628097994624,37,51,55,39,1,FRC1,false,8,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73711529615903,21.209542267306148,37,51,55,39,1,FRC1,false,9,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73683232310135,21.20949532864836,37,51,55,39,1,FRC1,false,10,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73656011301601,21.209445707781583,37,51,55,39,1,FRC1,false,11,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.736458202086,21.20942559121397,37,51,55,39,1,FRC1,false,12,19,0.7254901960784313,20.81081081081081,moderate,relative
p-1-1,2026-05-14T04:30:00.000Z,45.73615375523806,21.209366582615644,37,51,55,39,1,FRC1,false,13,19,0.7254901960784313,20.81081081081081,moderate,relative
